merchant_name,expense,category,mcc,amount,date
Burger King,Food,Dining,,116.13,2023-04-18
City Park,Entertainment,Motion Pictures,,34.23,2023-04-07
Dollar General,Groceries,Convenience Stores,,64.98,2023-03-09
Uptown Rentals,Rent,Housing,,300,2023-03-04
Tobu,Groceries,Specialty Food Markets,,47.54,2023-05-11
Trader joe's,Groceries,Convenience Stores,,121.12,2023-04-14
Sony,Electronics,Mobile Accessories,5727,232.18,2023-04-22
Walmart,Clothes,Apparel,,144.74,2023-04-16
Tobu Aquarium,Entertainment,Tourist Attractions,7832,62.11,2023-04-23
Tobu Zoo,Entertainment,Amusement/Theme Parks,,109.8,2023-05-03
MNO Gas,Utilities,Utilities,,133.1,2023-03-22
Uptown Rentals,Rent,Housing,,300,2023-05-10
Sega,Electronics,Electronics,,228.16,2023-03-26
Dentist,MISC,Miscellaneous,6546,0,2023-04-25
City Park,Entertainment,Carnival,,116.25,2023-03-10
Aliexpress,Electronics,Mobile Accessories,,433.51,2023-03-24
MNO Gas,Utilities,Utilities,,89.56,2023-03-30
Six Flags,Entertainment,Fair,,102.68,2023-04-02
Zara,Clothes,Commercial Footwear,,155.62,2023-05-04
Amazon,Health,Health,,280.67,2023-03-01
Nintendo,Electronics,Electronics,,51.71,2023-04-06
Macy's,Clothes,Accessories,,94.16,2023-03-25
Target,Electronics,Gaming,,220.03,2023-05-05
City Bus,Transportation,Taxi Cabs,4525,8.41,2023-04-06
JUTC,Transportation,Local Transit,,12.43,2023-03-02
Office Depot,MISC,Wholesale Clubs,6548,0,2023-04-15
Walmart,Health,Pharmaceuticals,,171.83,2023-04-05
XYZ Electricity,Utilities,Utilities,,130.67,2023-03-28
Cabbie,Transportation,Public Transportation,4308,14.93,2023-03-23
Tobu Aquarium,Entertainment,Fair,,37.76,2023-04-16
MNO Gas,Utilities,Utilities,,198.69,2023-05-06
Walmart,Food,Dining,,77.0,2023-04-05
Cabbie,Transportation,Bus Lines,4124,18.48,2023-03-25
PQR Internet,Utilities,Utilities,,153.57,2023-05-01
Amazon,Clothes,Men's Clothing,,251.56,2023-05-06
MNO Gas,Utilities,Utilities,4892,128.32,2023-04-30
Main Street Condos,Rent,Housing,6513,300,2023-05-14
Uber,Transportation,Local Transit,,11.35,2023-05-02
Lyft,Transportation,Public Transportation,,17.27,2023-04-15
Apple Store,Electronics,Computer Software Stores,5734,1425.12,2023-04-09
Six Flags,Entertainment,Motion Pictures,,48.6,2023-03-05
City Hospital,MISC,Miscellaneous,,0,2023-03-26
XYZ Electricity,Utilities,Utilities,,76.33,2023-04-29
Gyomu Supermarket,Groceries,Miscellaneous Food Stores,,92.05,2023-04-25
ABC Water,Utilities,Utilities,,65.59,2023-03-17
ABC Water,Utilities,Utilities,,108.87,2023-03-24
Walmart,Health,Pharmaceuticals,,463.33,2023-04-28
Uptown Rentals,Rent,Housing,,300,2023-04-24
City Park,Entertainment,Theaters,,89.06,2023-03-04
Six Flags,Entertainment,Motion Pictures,,101.02,2023-04-20
ABC Apartments,Rent,Housing,6513,300,2023-04-06
Walmart,Clothes,Apparel,,37.95,2023-05-12
Burger King,Food,Meals,5813,83.85,2023-05-07
CVS,Health,Drug Stores,,312.33,2023-05-08
Walmart,Health,Drug Stores,,451.23,2023-03-24
Walmart,Clothes,Accessories,5648,156.3,2023-03-26
Walmart,Health,Health,,264.79,2023-04-01
Holiday Inn,MISC,Miscellaneous,,0,2023-03-19
JUTC,Transportation,Local Transit,,6.37,2023-03-24
Target,MISC,Stationery Goods,,0,2023-04-10
Dollar General,Groceries,Specialty Food Markets,,46.3,2023-03-13
XYZ Electricity,Utilities,Utilities,,155.64,2023-04-08
Lyft,Transportation,Taxi Cabs,4184,19.43,2023-05-05
Target,Electronics,Computer Software Stores,,585.91,2023-05-08
ABC Apartments,Rent,Housing,,300,2023-03-08
Office Depot,MISC,Wholesale Clubs,,0,2023-04-02
Ikea,MISC,Department Stores,6907,0,2023-04-21
ABC Apartments,Rent,Housing,,300,2023-03-18
Cabbie,Transportation,Public Transportation,,10.08,2023-04-14
Nintendo,Electronics,Gaming,,161.3,2023-04-09
Main Street Condos,Rent,Housing,6513,300,2023-05-03
CVS,Health,Drug Stores,,409.72,2023-04-17
JUTC,Transportation,Local Transit,,18.82,2023-03-13
CVS,Health,Pharmaceuticals,5912,479.31,2023-03-27
Target,MISC,Variety Stores,,0,2023-03-30
Donquiote,Clothes,Commercial Footwear,,225.34,2023-03-14
Amazon,Electronics,Gaming,,1028.39,2023-04-20
JUTC,Transportation,Bus Lines,,5.44,2023-04-13
Target,Food,Fast Food Restaurants,,103.59,2023-04-07
Hilo,Groceries,Markets,,111.46,2023-04-10
Six Flags,Entertainment,Theaters,,111.26,2023-05-03
ABC Apartments,Rent,Housing,,300,2023-04-10
Gap,Clothes,Men's Clothing,,263.15,2023-03-22
Amazon,Health,Pharmaceuticals,5912,492.97,2023-04-21
Panasonic,Electronics,Mobile Accessories,,517.37,2023-04-23
ABC Water,Utilities,Utilities,,197.6,2023-03-14
Aliexpress,MISC,Variety Stores,,0,2023-04-09
Panasonic,Electronics,Mobile Accessories,,738.2,2023-03-05
Yellow Cab,Transportation,Taxi Cabs,,10.82,2023-04-03
Puma,Clothes,Commercial Footwear,,69.82,2023-03-23
Uptown Rentals,Rent,Housing,,300,2023-03-30
XYZ Electricity,Utilities,Utilities,,81.62,2023-04-21
Home Depot,MISC,Stationery Goods,5871,0,2023-03-13
Amazon,Health,Drug Stores,,350.2,2023-03-04
Walmart,Health,Health,,252.69,2023-04-26
Burger King,Food,Bars,,15.07,2023-04-02
Aliexpress,MISC,Miscellaneous,,0,2023-03-14
Six Flags,Entertainment,Carnival,,65.42,2023-03-18
Cabbie,Transportation,Local Transit,,15.43,2023-03-19
ABC Apartments,Rent,Housing,,300,2023-04-09
Main Street Condos,Rent,Housing,,300,2023-04-03
Aliexpress,MISC,Stationery Goods,6965,0,2023-03-16
Dollar General,Groceries,Miscellaneous Food Stores,,134.86,2023-05-04
Nike,Clothes,Accessories,,189.02,2023-03-31
XYZ Electricity,Utilities,Utilities,4872,189.77,2023-04-04
Mo's Motel,MISC,Department Stores,,0,2023-03-05
MNO Gas,Utilities,Utilities,,55.43,2023-03-09
Tobu Aquarium,Entertainment,Amusement/Theme Parks,,23.91,2023-04-18
Burger King,Food,Meals,,118.04,2023-05-07
PQR Internet,Utilities,Utilities,,91.76,2023-04-03
Nike,Clothes,Accessories,,56.38,2023-04-02
Disney Land,Entertainment,Carnival,,96.97,2023-04-12
Seven Eleven,Groceries,Specialty Food Markets,5411,123.7,2023-04-14
MNO Gas,Utilities,Utilities,4811,152.32,2023-04-25
CVS,Health,Health,,287.75,2023-03-29
Main Street Condos,Rent,Housing,6513,300,2023-04-28
Walmart,MISC,Variety Stores,,0,2023-04-24
Donquiote,Clothes,Accessories,5680,178.27,2023-03-22
Disney Land,Entertainment,Motion Picture Theaters,,72.71,2023-04-18
Dollar General,Groceries,Specialty Food Markets,,149.49,2023-05-04
Uptown Rentals,Rent,Housing,6513,300,2023-05-08
Macy's,Clothes,Commercial Footwear,,179.75,2023-03-04
Uptown Rentals,Rent,Housing,,300,2023-05-04
Starbucks,Food,Fast Food Restaurants,,11.97,2023-05-01
Amazon,Health,Health,,74.88,2023-03-21
Sony,Electronics,Electronics,,286.3,2023-04-22
Target,MISC,Stationery Goods,,0,2023-04-24
Disney Land,Entertainment,Fair,,12.35,2023-03-27
CVS,Health,Drug Stores,,420.88,2023-05-10
Target,MISC,Stationery Goods,,0,2023-05-15
PQR Internet,Utilities,Utilities,,175.97,2023-03-30
ABC Water,Utilities,Utilities,,142.49,2023-04-26
Amazon,Groceries,Miscellaneous Food Stores,,139.33,2023-04-06
Uptown Rentals,Rent,Housing,,300,2023-03-14
ABC Water,Utilities,Utilities,,139.19,2023-03-13
Walmart,Health,Drug Stores,5912,29.98,2023-04-23
Amazon,Health,Pharmaceuticals,,204.54,2023-04-08
City Bus,Transportation,Taxi Cabs,4008,19.53,2023-03-01
PQR Internet,Utilities,Utilities,,121.33,2023-03-07
Gap,Clothes,Clothing & Shoes,,153.48,2023-03-22
Juicy,Food,Dining,,47.62,2023-05-02
Mo's Motel,MISC,Stationery Goods,,0,2023-04-23
Disney Land,Entertainment,Exhibits,7991,101.27,2023-04-29
Walmart,Electronics,Computer Software Stores,,593.7,2023-03-04
AMC Theaters,Entertainment,Motion Pictures,,87.08,2023-04-28
Amazon,Electronics,Mobile Accessories,5735,574.3,2023-04-13
Holiday Inn,MISC,Wholesale Clubs,,0,2023-04-28
Yellow Cab,Transportation,Local Transit,4601,16.02,2023-05-07
Walmart,Food,Fast Food Restaurants,5812,9.71,2023-04-21
Dollar General,Groceries,Miscellaneous Food Stores,,9.59,2023-04-09
Bed Bath & Beyond,MISC,Miscellaneous,,0,2023-05-01
ABC Water,Utilities,Utilities,,142.47,2023-03-13
Uber,Transportation,Local Transit,4224,10.87,2023-04-25
Sega,Electronics,Mobile Accessories,,576.41,2023-04-28
City Park,Entertainment,Tourist Attractions,,82.38,2023-04-29
Dentist,MISC,Stationery Goods,7202,0,2023-04-20
Six Flags,Entertainment,Theaters,,86.37,2023-05-01
JUTC,Transportation,Bus Lines,4613,18.13,2023-03-11
Walmart,Health,Pharmaceuticals,,115.7,2023-05-14
Aliexpress,MISC,Wholesale Clubs,,0,2023-03-10
Gyomu Supermarket,Groceries,Miscellaneous Food Stores,,125.25,2023-05-14
CVS,Health,Drug Stores,,271.04,2023-03-12
XYZ Electricity,Utilities,Utilities,,130.7,2023-03-19
Yellow Cab,Transportation,Local Transit,,15.88,2023-04-10
Starbucks,Food,Bars,,104.66,2023-03-13
Walmart,Health,Health,,10.17,2023-04-08
Tasty's,Food,Restaurant & Dining,,67.38,2023-04-05
Subway,Food,Dining,,60.61,2023-04-13
Tobu Zoo,Entertainment,Theaters,,116.87,2023-04-08
Target,Electronics,Gaming,,1238.72,2023-05-06
AMC Theaters,Entertainment,Tourist Attractions,,44.9,2023-03-20
Walmart,Clothes,Accessories,,243.79,2023-03-21
Uber,Transportation,Local Transit,,12.34,2023-04-28
Main Street Condos,Rent,Housing,,300,2023-04-24
Cabbie,Transportation,Public Transportation,,8.87,2023-04-06
Cabbie,Transportation,Public Transportation,,7.7,2023-05-14
CVS,Health,Health,,315.53,2023-05-09
Main Street Condos,Rent,Housing,,300,2023-04-01
Uptown Rentals,Rent,Housing,6513,300,2023-05-11
Target,Groceries,Specialty Food Markets,,25.88,2023-03-09
Uptown Rentals,Rent,Housing,,300,2023-04-19
Disney Land,Entertainment,Fair,,22.27,2023-05-05
Puma,Clothes,Apparel,,197.18,2023-04-03
Mo's Motel,MISC,Stationery Goods,,0,2023-05-12
Disney Land,Entertainment,Motion Pictures,,37.98,2023-03-19
Yellow Cab,Transportation,Public Transportation,4123,10.35,2023-04-14
Walmart,Food,Dining,,12.92,2023-03-07
Walmart,Food,Fast Food Restaurants,,23.21,2023-03-22
KFC,Food,Bars,,108.65,2023-03-24
Target,Clothes,Apparel,,277.43,2023-03-21
Aliexpress,MISC,Wholesale Clubs,6770,0,2023-05-10
KFC,Food,Fast Food Restaurants,5814,93.92,2023-03-02
Uber,Transportation,Public Transportation,4632,6.37,2023-04-17
Dollar General,Groceries,Miscellaneous Food Stores,,46.56,2023-04-11
Main Street Condos,Rent,Housing,,300,2023-03-17
Hilo,Groceries,Specialty Food Markets,5499,15.99,2023-04-01
XYZ Housing,Rent,Housing,,300,2023-03-22
Puma,Clothes,Apparel,,107.88,2023-04-02
Gyomu Supermarket,Groceries,Markets,,8.86,2023-04-27
Uptown Rentals,Rent,Housing,,300,2023-03-21
PQR Internet,Utilities,Utilities,4846,175.31,2023-03-20
City Bus,Transportation,Public Transportation,4161,12.86,2023-03-22
Walmart,Food,Dining,,104.61,2023-04-01
Walmart,Health,Drug Stores,,294.74,2023-04-10
Walmart,Health,Pharmaceuticals,,60.17,2023-03-17
ABC Water,Utilities,Utilities,,153.3,2023-04-17
ABC Water,Utilities,Utilities,,155.82,2023-03-12
XYZ Electricity,Utilities,Utilities,,193.96,2023-03-28
KFC,Food,Restaurant & Dining,,83.0,2023-03-07
Uptown Rentals,Rent,Housing,,300,2023-03-20
Amazon,Clothes,Commercial Footwear,5606,139.33,2023-03-20
PQR Internet,Utilities,Utilities,,174.67,2023-03-14
Bed Bath & Beyond,MISC,Stationery Goods,,0,2023-03-15
Starbucks,Food,Bars,,62.92,2023-03-27
City Bus,Transportation,Public Transportation,,10.32,2023-03-20
Bed Bath & Beyond,MISC,Department Stores,,0,2023-03-31
XYZ Electricity,Utilities,Utilities,4909,53.4,2023-03-29
Uber,Transportation,Taxi Cabs,4222,10.64,2023-03-31
Target,Food,Restaurant & Dining,,111.26,2023-03-15
Sony,Electronics,Mobile Accessories,5731,1051.92,2023-04-22
Dollar General,Groceries,Specialty Food Markets,,68.76,2023-03-31
XYZ Housing,Rent,Housing,,300,2023-04-30
Seven Eleven,Groceries,Supermarkets,,69.46,2023-05-01
Cabbie,Transportation,Bus Lines,,12.23,2023-05-05
Walmart,Food,Fast Food Restaurants,,126.37,2023-05-05
ABC Apartments,Rent,Housing,,300,2023-03-27
CVS,Health,Drug Stores,,300.56,2023-04-01
Regal Cinemas,Entertainment,Motion Picture Theaters,7996,79.2,2023-04-29
PQR Internet,Utilities,Utilities,,152.32,2023-04-10
Bed Bath & Beyond,MISC,Miscellaneous,,0,2023-05-15
Walmart,Health,Drug Stores,,75.0,2023-05-08
Target,Groceries,Convenience Stores,,146.85,2023-05-12
Aliexpress,Electronics,Mobile Accessories,,798.49,2023-03-13
Uber,Transportation,Public Transportation,4004,14.73,2023-04-10
JUTC,Transportation,Public Transportation,4634,15.04,2023-04-24
Aliexpress,Clothes,Apparel,5636,20.1,2023-04-10
Walmart,MISC,Miscellaneous,,0,2023-03-18
Yellow Cab,Transportation,Taxi Cabs,,11.7,2023-04-17
ABC Water,Utilities,Utilities,4888,102.76,2023-03-15
Target,Clothes,Men's Clothing,5648,122.3,2023-04-08
Yellow Cab,Transportation,Bus Lines,,16.41,2023-05-13
Puma,Clothes,Commercial Footwear,,95.5,2023-03-22
Aliexpress,Clothes,Clothing & Shoes,,236.22,2023-03-09
PQR Internet,Utilities,Utilities,,90.04,2023-03-07
ABC Water,Utilities,Utilities,,66.63,2023-04-30
KFC,Food,Dining,,120.95,2023-03-12
Sega,Electronics,Gaming,5733,96.79,2023-04-01
Nike,Clothes,Apparel,5604,110.68,2023-03-11
Seven Eleven,Groceries,Convenience Stores,,58.75,2023-03-07
Starbucks,Food,Restaurant & Dining,,52.68,2023-04-27
Target,Clothes,Clothing & Shoes,,98.61,2023-03-27
Best Buy,Electronics,Mobile Accessories,,1686.15,2023-04-02
MNO Gas,Utilities,Utilities,4925,117.6,2023-04-20
Museum of History,Entertainment,Theaters,,21.3,2023-05-02
City Bus,Transportation,Taxi Cabs,,16.56,2023-05-14
PQR Internet,Utilities,Utilities,,123.4,2023-03-19
XYZ Electricity,Utilities,Utilities,,76.17,2023-04-05
Subway,Food,Bars,,107.69,2023-03-08
MNO Gas,Utilities,Utilities,4838,185.09,2023-03-03
Walmart,Health,Drug Stores,,178.24,2023-04-07
Ikea,MISC,Variety Stores,,0,2023-03-10
TGI Fridays,Food,Bars,,128.16,2023-05-05
Lyft,Transportation,Bus Lines,,14.09,2023-03-08
Macy's,Clothes,Commercial Footwear,,260.13,2023-05-15
Disney Land,Entertainment,Amusement/Theme Parks,,113.11,2023-04-24
Main Street Condos,Rent,Housing,,300,2023-04-29
Walmart,Health,Drug Stores,,217.38,2023-05-01
Uptown Rentals,Rent,Housing,,300,2023-03-09
Yellow Cab,Transportation,Taxi Cabs,,12.75,2023-05-01
Amazon,Health,Health,,222.29,2023-03-08
JUTC,Transportation,Public Transportation,,19.29,2023-03-28
Yellow Cab,Transportation,Local Transit,4151,11.24,2023-03-31
KFC,Food,Fast Food Restaurants,,93.62,2023-04-28
Walmart,Health,Health,,469.86,2023-05-12
MNO Gas,Utilities,Utilities,,64.7,2023-05-14
Walmart,Food,Restaurant & Dining,5813,32.96,2023-03-09
Target,Clothes,Men's Clothing,,70.83,2023-04-08
Uptown Rentals,Rent,Housing,,300,2023-04-16
Seven Eleven,Groceries,Convenience Stores,,24.12,2023-03-26
City Bus,Transportation,Local Transit,,7.8,2023-04-08
JUTC,Transportation,Taxi Cabs,,5.4,2023-05-10
XYZ Housing,Rent,Housing,,300,2023-03-14
Sony,Electronics,Gaming,5727,342.74,2023-04-11
Lyft,Transportation,Local Transit,,8.88,2023-04-28
Yellow Cab,Transportation,Public Transportation,,13.29,2023-04-03
Aliexpress,Clothes,Accessories,,153.28,2023-03-07
Walmart,Groceries,Convenience Stores,,47.63,2023-05-06
Walmart,Food,Bars,5812,61.55,2023-05-04
Walmart,Electronics,Computer Software Stores,,1031.91,2023-05-14
Uber,Transportation,Taxi Cabs,,14.77,2023-04-04
Gyomu Supermarket,Groceries,Specialty Food Markets,5411,5.09,2023-05-15
Six Flags,Entertainment,Exhibits,,26.52,2023-04-14
Apple Store,Electronics,Electronics,,1638.23,2023-04-21
Tobu,Groceries,Convenience Stores,,103.44,2023-04-01
Lyft,Transportation,Taxi Cabs,4246,8.01,2023-03-14
Home Depot,MISC,Variety Stores,,0,2023-04-28
City Bus,Transportation,Local Transit,,11.27,2023-04-11
Walmart,Health,Health,5912,459.62,2023-03-08
Walmart,Health,Health,,297.78,2023-04-13
Target,MISC,Wholesale Clubs,,0,2023-04-16
Mo's Motel,MISC,Variety Stores,6766,0,2023-04-22
Bed Bath & Beyond,MISC,Miscellaneous,,0,2023-05-11
Walmart,Health,Drug Stores,,254.74,2023-03-31
Main Street Condos,Rent,Housing,,300,2023-03-07
City Park,Entertainment,Theaters,,62.62,2023-03-03
Dollar General,Groceries,Markets,,128.82,2023-04-12
Lyft,Transportation,Public Transportation,4373,13.03,2023-04-25
Subway,Food,Restaurant & Dining,,48.72,2023-03-22
Walmart,Health,Drug Stores,,72.27,2023-04-01
Ikea,MISC,Department Stores,,0,2023-04-22
Nintendo,Electronics,Gaming,,1621.91,2023-03-30
Target,Clothes,Accessories,,279.15,2023-04-17
Subway,Food,Dining,,46.23,2023-04-26
Mo's Motel,MISC,Wholesale Clubs,,0,2023-03-17
PQR Internet,Utilities,Utilities,4992,148.61,2023-05-02
Amazon,Electronics,Mobile Accessories,,1552.11,2023-03-08
Uber,Transportation,Bus Lines,,9.2,2023-04-27
Walmart,Health,Pharmaceuticals,,404.52,2023-04-24
Nike,Clothes,Clothing & Shoes,5638,136.81,2023-03-23
Starbucks,Food,Dining,,56.1,2023-03-02
Gap,Clothes,Clothing & Shoes,,81.3,2023-05-02
Cabbie,Transportation,Taxi Cabs,,16.92,2023-04-07
PQR Internet,Utilities,Utilities,,108.37,2023-05-03
Main Street Condos,Rent,Housing,,300,2023-04-18
Bed Bath & Beyond,MISC,Variety Stores,,0,2023-04-29
Amazon,Clothes,Clothing & Shoes,,32.23,2023-03-10
Target,Clothes,Commercial Footwear,,43.81,2023-03-29
Regal Cinemas,Entertainment,Motion Picture Theaters,,116.62,2023-04-13
XYZ Electricity,Utilities,Utilities,,160.62,2023-04-20
Museum of History,Entertainment,Motion Picture Theaters,,39.16,2023-03-28
City Bus,Transportation,Public Transportation,,16.08,2023-04-03
Amazon,Groceries,Specialty Food Markets,,71.35,2023-03-07
Museum of History,Entertainment,Theaters,7832,90.22,2023-03-21
Walmart,MISC,Wholesale Clubs,,0,2023-05-14
Target,Food,Bars,,129.12,2023-04-09
Subway,Food,Fast Food Restaurants,,146.96,2023-03-06
Donquiote,Clothes,Clothing & Shoes,,79.32,2023-03-28
Walmart,Health,Drug Stores,,14.0,2023-04-10
Amazon,Clothes,Clothing & Shoes,,84.8,2023-04-12
Tobu Zoo,Entertainment,Motion Pictures,,12.17,2023-03-08
Uber,Transportation,Local Transit,4129,15.34,2023-03-28
Amazon,MISC,Department Stores,,0,2023-03-26
Cabbie,Transportation,Public Transportation,,12.57,2023-05-05
PQR Internet,Utilities,Utilities,,60.76,2023-04-20
Best Buy,Electronics,Mobile Accessories,,1663.43,2023-04-06
Apple Store,Electronics,Electronics,,169.27,2023-04-13
XYZ Housing,Rent,Housing,,300,2023-04-12
Target,Food,Bars,,110.95,2023-04-06
Uptown Rentals,Rent,Housing,,300,2023-04-29
Amazon,Clothes,Commercial Footwear,5637,61.21,2023-04-25
Cabbie,Transportation,Bus Lines,,5.85,2023-03-29
ABC Apartments,Rent,Housing,,300,2023-05-10
Target,Groceries,Supermarkets,,104.48,2023-03-29
Puma,Clothes,Apparel,,47.33,2023-03-29
TGI Fridays,Food,Fast Food Restaurants,,146.19,2023-04-28
Samsung,Electronics,Computer Software Stores,,176.28,2023-04-16
Juicy,Food,Fast Food Restaurants,,149.28,2023-03-14
Six Flags,Entertainment,Exhibits,,108.74,2023-04-15
Main Street Condos,Rent,Housing,,300,2023-05-12
Walmart,Health,Health,5912,415.33,2023-03-01
Gyomu Supermarket,Groceries,Miscellaneous Food Stores,5462,149.64,2023-03-26
Cabbie,Transportation,Taxi Cabs,4257,9.59,2023-03-11
Panasonic,Electronics,Computer Software Stores,,1114.7,2023-03-15
Amazon,Health,Health,,447.76,2023-03-03
Amazon,Clothes,Men's Clothing,,138.08,2023-03-18
Apple Store,Electronics,Electronics,,1083.85,2023-04-02
MNO Gas,Utilities,Utilities,,79.39,2023-04-21
Dentist,MISC,Stationery Goods,,0,2023-03-30
Subway,Food,Dining,,73.48,2023-03-31
Target,Food,Dining,5813,9.93,2023-04-04
Walmart,Health,Pharmaceuticals,,491.15,2023-04-02
Samsung,Electronics,Mobile Accessories,,66.36,2023-03-14
Holiday Inn,MISC,Miscellaneous,,0,2023-04-29
Adidas,Clothes,Men's Clothing,,71.1,2023-03-21
Samsung,Electronics,Computer Software Stores,,1966.91,2023-04-10
CVS,Health,Pharmaceuticals,,391.33,2023-03-17
Yellow Cab,Transportation,Bus Lines,,15.72,2023-05-10
Seven Eleven,Groceries,Convenience Stores,,97.64,2023-03-04
Nintendo,Electronics,Gaming,,381.16,2023-03-15
Dollar General,Groceries,Convenience Stores,,70.09,2023-04-03
Uniqlo,Clothes,Men's Clothing,5653,132.59,2023-04-21
Lyft,Transportation,Bus Lines,,17.52,2023-03-01
Juicy,Food,Fast Food Restaurants,5814,60.94,2023-05-01
MNO Gas,Utilities,Utilities,,170.53,2023-04-23
Cabbie,Transportation,Local Transit,,10.36,2023-05-07
Yellow Cab,Transportation,Bus Lines,,15.62,2023-05-08
Six Flags,Entertainment,Exhibits,,54.87,2023-03-07
Nintendo,Electronics,Electronics,,1829.59,2023-04-24
Uber,Transportation,Local Transit,,12.24,2023-04-02
Six Flags,Entertainment,Theaters,7996,72.67,2023-03-04
Yellow Cab,Transportation,Public Transportation,,7.67,2023-05-09
JUTC,Transportation,Bus Lines,,7.69,2023-05-04
City Park,Entertainment,Theaters,,13.96,2023-05-11
Tobu Zoo,Entertainment,Motion Pictures,,94.9,2023-03-04
XYZ Housing,Rent,Housing,6513,300,2023-04-04
Lyft,Transportation,Public Transportation,,9.08,2023-03-29
Target,MISC,Wholesale Clubs,,0,2023-05-05
Walmart,Health,Health,,186.66,2023-04-30
XYZ Electricity,Utilities,Utilities,,73.15,2023-03-05
Carib,Entertainment,Tourist Attractions,7991,75.3,2023-05-03
JUTC,Transportation,Local Transit,,5.89,2023-04-26
XYZ Housing,Rent,Housing,6513,300,2023-04-01
Megamart,Groceries,Supermarkets,,83.89,2023-03-12
XYZ Housing,Rent,Housing,,300,2023-04-10
GU,Clothes,Clothing & Shoes,,57.98,2023-05-03
Dollar General,Groceries,Convenience Stores,5462,70.94,2023-03-17
Tobu Zoo,Entertainment,Exhibits,7998,117.56,2023-03-11
Target,Groceries,Convenience Stores,,63.22,2023-03-10
Bed Bath & Beyond,MISC,Department Stores,,0,2023-03-25
Lyft,Transportation,Taxi Cabs,,11.77,2023-05-09
